#U1	H	C	F	X	E	A	L	M	B	G	D
6.76	0.38	0.24	0.12	0.19	0.14	0.13	0.25	0.16	0.24	0.16	0.39
6.78	0.38	0.24	0.12	0.19	0.14	0.14	0.25	0.16	0.24	0.16	0.39
6.81	0.41	0.26	0.14	0.19	0.16	0.13	0.27	0.17	0.24	0.19	0.43
6.83	0.4	0.23	0.13	0.2	0.14	0.13	0.25	0.18	0.25	0.17	0.41
6.86	0.4	0.23	0.13	0.19	0.14	0.13	0.25	0.17	0.24	0.17	0.38
6.88	0.42	0.27	0.14	0.19	0.15	0.15	0.27	0.17	0.24	0.18	0.43
6.91	0.42	0.24	0.12	0.21	0.15	0.14	0.24	0.18	0.26	0.15	0.43
6.93	0.4	0.24	0.12	0.19	0.15	0.14	0.24	0.17	0.24	0.15	0.39
6.95	0.4	0.25	0.13	0.19	0.15	0.16	0.25	0.17	0.24	0.16	0.43
6.98	0.43	0.24	0.13	0.21	0.17	0.14	0.26	0.19	0.26	0.16	0.46
7	0.39	0.24	0.13	0.18	0.15	0.14	0.24	0.17	0.25	0.16	0.42
